initial_age,weight,family_kind,race,marital_status,accumulated_capital,annual_contribution,income,new_accumulated_capital
57,616,2,1,3,-153263.20075894924,0.23,2.1831298879541208e+41,-153263.20075894924
45,591,1,1,1,161474.30730573952,0.24,2.1306390114004907e+42,161474.30730573952
59,613,1,1,1,14209.331170472313,0.09,1.1443740069781578e+41,14209.331170472313
62,656,1,1,1,-77270.8971615558,0.17,2.0132131557329237e+41,-77270.8971615558
45,567,2,1,5,282353.1824904715,0.22,4.1019601517037194e+41,282353.1824904715
40,300,1,1,1,186133.53589746484,0.12,3.39189970818742e+41,186133.53589746484
35,318,1,1,1,101335.18715003086,0.03,4.174057470963567e+41,101335.18715003086
57,545,1,1,1,-129635.97651341364,0.08,4.612855383892711e+41,-129635.97651341364
44,316,1,1,1,-164230.28973520375,0.29,1.3739258672678068e+42,-164230.28973520375
54,538,2,1,5,-100385.68158060308,0.23,1.7899178317831646e+41,-100385.68158060308
40,316,1,1,1,-256997.4062920032,0.12,4.947452747276822e+41,-256997.4062920032
61,621,2,1,3,16199.820562777051,0.25,5.425027169956487e+41,16199.820562777051
46,591,1,1,1,43015.849398840575,0.24,6.687288671055253e+41,43015.849398840575
58,613,1,1,1,-177223.18834805524,0.12,3.010758296259168e+41,-177223.18834805524
40,644,3,1,5,16123.378077014168,0.25,4.883509190375672e+41,16123.378077014168
45,644,2,1,5,144259.26616964306,0.18,2.536369418875192e+41,144259.26616964306
48,352,1,1,1,-122897.38481720704,0.17,8.22692949922957e+41,-122897.38481720704
62,619,1,1,1,3663.075987899144,0.03,7.71653554770369e+41,3663.075987899144
44,300,1,1,1,489740.55883946974,0.35,2.5148670429201837e+41,489740.55883946974
52,587,1,1,1,68323.38367680064,0.35,2.4833234161712597e+41,68323.38367680064
57,561,1,1,1,-39909.54341443597,0.22,3.2255229991165033e+41,-39909.54341443597
56,561,1,1,1,15876.285102139278,0.23,6.598293103557548e+41,15876.285102139278
47,308,1,1,1,481647.3761496623,0.12,4.9470185860702125e+41,481647.3761496623
42,617,2,1,3,273340.95536635723,0.24,2.0252168773220722e+41,273340.95536635723
42,286,1,1,1,32885.36982068384,0.04,5.729183718313281e+41,32885.36982068384
41,346,1,1,1,-92628.20629301402,0.19,1.7720603865771985e+42,-92628.20629301402
36,308,1,1,1,-17091.54788181004,0.01,8.691825734318919e+41,-17091.54788181004
49,308,1,1,1,51771.2351944449,0.17,2.8629645412779584e+41,51771.2351944449
37,310,1,1,1,99042.6361841256,0.13,9.567098850233213e+41,99042.6361841256
41,288,1,1,1,-48963.55036090561,0.19,9.308878671270524e+41,-48963.55036090561
37,321,1,1,1,200707.693351556,0.01,5.712723464821684e+41,200707.693351556
41,339,1,1,1,-170263.2794560638,0.16,1.9099547321390223e+41,-170263.2794560638
57,578,1,1,1,103153.5479678066,0.07,3.921167201036447e+40,103153.5479678066
52,331,1,1,1,47346.89854924133,0.34,9.166369262675476e+41,47346.89854924133
62,656,1,1,1,-250673.97571426656,0.22,1.730162748610655e+41,-250673.97571426656
53,621,3,1,1,-192482.046027303,0.1,1.7012288258289976e+41,-192482.046027303
46,660,3,1,3,228424.97414615643,0.02,2.874095770253526e+41,228424.97414615643
36,318,1,1,1,-117105.97405042702,0.04,2.3677145009433573e+42,-117105.97405042702
36,562,1,1,1,248088.42173158744,0.14,4.001838164077592e+41,248088.42173158744
53,587,3,1,5,-29999.525192713496,0.12,1.2846973974053949e+42,-29999.525192713496
44,647,1,1,1,-145485.470259673,0.16,4.647784875883873e+41,-145485.470259673
52,551,1,1,1,38423.50199144202,0.32,4.363772491053308e+41,38423.50199144202
61,572,2,1,3,312897.41328443354,0.15,5.75395895118084e+41,312897.41328443354
58,561,1,1,1,115164.68494862856,0.3,2.0813542135779458e+41,115164.68494862856
61,591,1,1,1,-288024.5286338032,0.03,2.292411564806603e+41,-288024.5286338032
58,578,3,1,3,-76152.12977154632,0.19,1.0472676777224472e+41,-76152.12977154632
59,552,1,1,1,70608.95330695083,0.3,3.1993075046748582e+41,70608.95330695083
47,352,1,1,1,-16805.635923251513,0.31,1.027480474520015e+41,-16805.635923251513
43,343,2,1,4,-74450.23492616149,0.26,3.651747869060958e+41,-74450.23492616149
58,299,2,1,2,54474.15652553393,0.21,5.321413593008416e+40,54474.15652553393
63,277,2,1,2,13275.353696893955,0.16,1.1894846365263898e+41,13275.353696893955
58,614,1,1,1,26081.51110228662,0.32,3.6670672962856766e+41,26081.51110228662
57,561,3,1,3,-156766.05452016505,0.15,6.64714069429434e+41,-156766.05452016505
57,561,2,1,5,53907.622742241954,0.33,4.026035995134357e+41,53907.622742241954
36,586,2,1,5,-300932.71179366106,0.08,7.106404308263884e+41,-300932.71179366106
41,345,3,1,3,-155386.19432056436,0.12,8.983994255850706e+41,-155386.19432056436
45,345,2,1,3,-318099.0412904626,0.06,6.125905656325171e+40,-318099.0412904626
56,561,1,1,1,2461.4020875907363,0.15,9.333700567165851e+41,2461.4020875907363
54,323,3,4,2,-231146.0318660896,0.34,1.410365719389918e+41,-231146.0318660896
54,309,2,4,3,-12806.915851703556,0.33,6.07174714245476e+41,-12806.915851703556
49,336,1,1,1,231441.34599615284,0.03,4.464670996934071e+41,231441.34599615284
42,319,1,1,1,130759.59859973984,0.15,1.5416584122361688e+42,130759.59859973984
44,339,3,1,3,-304540.0210990801,0.12,8.508868300361399e+41,-304540.0210990801
59,339,2,1,3,90914.20617094856,0.22,1.7669600288058692e+42,90914.20617094856
61,591,3,1,3,11859.406414273508,0.06,2.4079968145958555e+41,11859.406414273508
52,591,1,1,1,-36269.28292974959,0.3,3.1566947072675522e+41,-36269.28292974959
46,308,3,4,5,90987.8405475623,0.17,5.059191796795376e+41,90987.8405475623
39,587,3,1,1,77235.72721445581,0.02,6.6179632663019385e+41,77235.72721445581
53,621,1,1,1,-103836.88056915942,0.01,2.295193711464751e+41,-103836.88056915942
38,318,2,1,5,-234147.52690218712,0.31,8.732341865168439e+41,-234147.52690218712
39,318,3,1,5,48841.01844383768,0.12,9.779137488986086e+41,48841.01844383768
56,614,1,1,1,17052.563325526007,0.1,4.248829959046579e+41,17052.563325526007
36,360,2,1,5,-41291.95872972282,0.25,9.267648957721528e+41,-41291.95872972282
35,332,1,1,1,154144.34565725044,0.12,2.1042227624235988e+42,154144.34565725044
41,562,1,1,1,-60060.31403003638,0.15,2.202793474476998e+41,-60060.31403003638
53,551,3,1,3,-22383.21130112624,0.18,7.447242236756497e+41,-22383.21130112624
51,551,3,1,3,68897.18315702399,0.24,1.3636753645793826e+41,68897.18315702399
46,551,2,1,5,-36004.11969600011,0.21,1.0718435367840739e+42,-36004.11969600011
61,521,3,1,3,-281223.5202413987,0.09,6.942587233873447e+41,-281223.5202413987
58,578,1,1,1,295660.46547998633,0.24,3.135623009532523e+41,295660.46547998633
63,638,2,1,3,141930.75546871268,0.23,2.0455736092554128e+41,141930.75546871268
